flow_id,direction,src_asset_id,dst_asset_id,protocol,controlStrength,pExploit,attackCost_min,impactFactor,riskWeight,cve_count
F0001,dst_to_src,E_ENT_13,D_DMZ_02,SSH,0.690539,0.572466,0.472712,0.2,0.114493,3
F0001,src_to_dst,E_ENT_13,D_DMZ_02,SSH,0.690539,0.443229,0.540607,0.6,0.265937,2
F0002,dst_to_src,E_ENT_10,D_DMZ_05,RDP,0.799075,0.406031,0.646987,1.0,0.406031,3
F0002,src_to_dst,E_ENT_10,D_DMZ_05,RDP,0.799075,0.302019,0.503352,0.2,0.060404,3
F0003,dst_to_src,E_ENT_03,D_DMZ_05,RDP,0.512455,0.775799,0.513663,0.8,0.620639,3
F0003,src_to_dst,E_ENT_03,D_DMZ_05,RDP,0.512455,0.641794,0.423161,0.2,0.128359,3
F0004,dst_to_src,E_ENT_01,D_DMZ_05,RDP,0.485141,0.800072,0.534089,1.0,0.800072,3
F0004,src_to_dst,E_ENT_01,D_DMZ_05,RDP,0.485141,0.668587,0.415519,0.2,0.133717,3
F0005,dst_to_src,E_ENT_08,D_DMZ_12,HTTPS,0.396015,0.86779,0.446197,0.6,0.520674,3
F0005,src_to_dst,E_ENT_08,D_DMZ_12,HTTPS,0.396015,0.749209,0.446423,0.6,0.449525,2
F0006,dst_to_src,E_ENT_04,D_DMZ_02,RDP,0.575274,0.713276,0.440481,0.2,0.142655,3
F0006,src_to_dst,E_ENT_04,D_DMZ_02,RDP,0.575274,0.576435,0.503747,0.6,0.345861,2
F0007,dst_to_src,E_ENT_09,D_DMZ_11,RDP,0.385111,0.874928,0.387308,0.2,0.174986,3
F0007,src_to_dst,E_ENT_09,D_DMZ_11,RDP,0.385111,0.758368,0.498341,1.0,0.758368,2
F0008,dst_to_src,E_ENT_03,D_DMZ_02,SSH,0.604868,0.680445,0.545048,0.8,0.544356,3
F0008,src_to_dst,E_ENT_03,D_DMZ_02,SSH,0.604868,0.543886,0.513211,0.6,0.326332,2
F0009,dst_to_src,E_ENT_07,D_DMZ_09,HTTPS,0.584325,0.70347,0.474699,0.4,0.281388,3
F0009,src_to_dst,E_ENT_07,D_DMZ_09,HTTPS,0.584325,0.566601,0.538328,0.8,0.453281,2
F0010,dst_to_src,E_ENT_08,D_DMZ_06,RDP,0.154771,0.97508,0.36909,0.6,0.585048,3
F0010,src_to_dst,E_ENT_08,D_DMZ_06,RDP,0.154771,0.915676,0.415468,1.0,0.915676,3
F0011,dst_to_src,E_ENT_09,D_DMZ_09,RDP,0.645046,0.632255,0.459991,0.2,0.126451,3
F0011,src_to_dst,E_ENT_09,D_DMZ_09,RDP,0.645046,0.49787,0.55896,0.8,0.398296,2
F0012,dst_to_src,E_ENT_04,D_DMZ_10,RDP,0.554077,0.735443,0.434554,0.2,0.147089,3
F0012,src_to_dst,E_ENT_04,D_DMZ_10,RDP,0.554077,0.599046,0.496969,0.6,0.359428,2
F0013,dst_to_src,E_ENT_07,D_DMZ_12,HTTPS,0.580178,0.707989,0.473456,0.4,0.283195,3
F0013,src_to_dst,E_ENT_07,D_DMZ_12,HTTPS,0.580178,0.57112,0.505316,0.6,0.342672,2
F0014,dst_to_src,E_ENT_14,D_DMZ_06,RDP,0.580425,0.70772,0.505139,0.6,0.424632,3
F0014,src_to_dst,E_ENT_14,D_DMZ_06,RDP,0.580425,0.570902,0.568612,1.0,0.570902,3
F0015,dst_to_src,E_ENT_01,D_DMZ_10,HTTPS,0.770075,0.453907,0.636558,1.0,0.453907,3
F0015,src_to_dst,E_ENT_01,D_DMZ_10,HTTPS,0.770075,0.341223,0.566042,0.6,0.204734,2
F0016,dst_to_src,D_DMZ_10,C3_L3_07,OPC_UA,0.312218,0.815617,0.419626,0.6,0.48937,2
F0017,dst_to_src,D_DMZ_09,C3_L3_05,MQTTS,0.202754,0.888589,0.408677,0.8,0.710871,2
F0018,dst_to_src,D_DMZ_08,C3_L3_10,MQTT,0.709918,0.419182,0.615201,1.0,0.419182,3
F0019,dst_to_src,D_DMZ_10,C3_L3_11,MQTT,0.487679,0.66609,0.475736,0.6,0.399654,2
F0020,dst_to_src,D_DMZ_11,C3_L3_02,MQTTS,0.797172,0.304589,0.646594,1.0,0.304589,2
F0021,dst_to_src,D_DMZ_06,C3_L3_04,HTTPS,0.756054,0.359848,0.6318,1.0,0.359848,3
F0022,dst_to_src,D_DMZ_06,C3_L3_12,MQTTS,0.469348,0.683635,0.528648,1.0,0.683635,3
F0023,dst_to_src,D_DMZ_05,C3_L3_12,MQTT,0.68335,0.452092,0.470974,0.2,0.090418,3
F0024,dst_to_src,D_DMZ_04,C3_L3_10,MQTTS,0.687864,0.446517,0.573509,0.8,0.357213,2
F0025,dst_to_src,D_DMZ_03,C3_L3_08,HTTPS,0.734115,0.388363,0.485178,0.2,0.077673,2
F0026,dst_to_src,D_DMZ_12,C3_L3_06,OPC_UA,0.389779,0.754465,0.444429,0.6,0.452679,2
F0027,dst_to_src,D_DMZ_03,C3_L3_07,HTTPS,0.602398,0.546646,0.448325,0.2,0.109329,2
F0028,dst_to_src,D_DMZ_03,C3_L3_05,MQTT,0.566282,0.586098,0.438221,0.2,0.11722,2
F0029,dst_to_src,D_DMZ_10,C3_L3_05,OPC_UA,0.612241,0.535599,0.515569,0.6,0.32136,2
F0030,dst_to_src,D_DMZ_04,C3_L3_11,OPC_UA,0.421055,0.727589,0.482852,0.8,0.582072,2
F0031,dst_to_src,D_DMZ_03,C3_L3_01,HTTPS,0.652876,0.488657,0.462448,0.2,0.097731,2
F0032,dst_to_src,D_DMZ_07,C3_L3_03,HTTPS,0.499818,0.654311,0.479618,0.6,0.392586,3
