timestamp,protocol,product_id,src_asset_id,dst_asset_id,src_ip,dst_ip,cip_service,class_id,instance_id,attribute_id,status,response_time_ms,bytes_in,bytes_out
2025-09-02T08:00:01,EtherNet/IP,C2_L2_12,C2_L2_12,C1_L1_08,10.58.4.76,10.150.0.12,ReadTag,470,932,6,Success,57,572,830
2025-09-02T08:00:01,EtherNet/IP,C1_L1_19,C1_L1_19,P0_L0_05,10.246.13.223,10.194.15.246,WriteTag,367,722,6,Success,368,551,750
2025-09-02T08:00:22,EtherNet/IP,C1_L1_05,C1_L1_05,P0_L0_07,10.86.0.6,10.230.11.188,GetAttributeAll,411,831,20,Success,217,373,332
2025-09-02T08:00:22,EtherNet/IP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,GetAttributeAll,371,223,3,Success,226,404,615
2025-09-02T08:00:25,EtherNet/IP,C1_L1_19,C1_L1_19,P0_L0_11,10.246.13.223,10.48.14.225,GetAttributeAll,122,173,19,Success,209,314,527
2025-09-02T08:00:38,EtherNet/IP,C2_L2_12,C2_L2_12,C1_L1_08,10.58.4.76,10.150.0.12,ForwardClose,1,258,15,Success,104,197,614
2025-09-02T08:00:55,EtherNet/IP,C1_L1_10,C1_L1_10,P0_L0_10,10.203.12.196,10.254.7.118,ForwardOpen,78,939,4,Success,78,573,730
2025-09-02T08:01:37,EtherNet/IP,C1_L1_19,C1_L1_19,P0_L0_05,10.246.13.223,10.194.15.246,GetAttributeAll,221,499,8,Success,72,347,364
2025-09-02T08:02:02,EtherNet/IP,C1_L1_09,C1_L1_09,P0_L0_08,10.109.1.17,10.4.11.180,ReadTag,16,133,6,Success,103,350,650
2025-09-02T08:02:51,EtherNet/IP,C1_L1_05,C1_L1_05,P0_L0_07,10.86.0.6,10.230.11.188,ReadTag,412,723,18,Success,129,287,778
2025-09-02T08:03:12,EtherNet/IP,C2_L2_01,C2_L2_01,C1_L1_02,10.93.13.215,10.103.1.17,ForwardClose,225,294,2,DeviceFailure,178,446,493
2025-09-02T08:03:19,EtherNet/IP,C1_L1_19,C1_L1_19,P0_L0_05,10.246.13.223,10.194.15.246,ForwardOpen,197,377,10,Timeout,89,291,766
2025-09-02T08:04:16,EtherNet/IP,C2_L2_03,C2_L2_03,C1_L1_16,10.243.1.26,10.191.12.203,ForwardClose,4,756,18,Success,76,587,845
2025-09-02T08:04:22,EtherNet/IP,C2_L2_01,C2_L2_01,C1_L1_02,10.93.13.215,10.103.1.17,WriteTag,349,463,2,Success,420,497,320
2025-09-02T08:05:18,EtherNet/IP,C1_L1_10,C1_L1_10,P0_L0_10,10.203.12.196,10.254.7.118,GetAttributeAll,64,919,20,Success,299,359,492
2025-09-02T08:05:26,EtherNet/IP,C1_L1_21,C1_L1_21,P0_L0_01,10.150.11.178,10.16.0.2,ForwardClose,149,850,16,Success,781,388,801
2025-09-02T08:06:03,EtherNet/IP,C1_L1_15,C1_L1_15,P0_L0_13,10.5.8.143,10.242.14.234,GetAttributeAll,100,171,9,Success,118,405,454
2025-09-02T08:06:11,EtherNet/IP,C2_L2_14,C2_L2_14,C1_L1_16,10.129.12.194,10.191.12.203,GetAttributeAll,145,897,15,Success,214,468,603
2025-09-02T08:07:30,EtherNet/IP,C1_L1_10,C1_L1_10,P0_L0_07,10.203.12.196,10.230.11.188,WriteTag,115,875,16,Success,150,376,566
2025-09-02T08:08:02,EtherNet/IP,C1_L1_19,C1_L1_19,P0_L0_11,10.246.13.223,10.48.14.225,WriteTag,272,652,7,Success,323,328,613
