timestamp,protocol,product_id,src_asset_id,dst_asset_id,src_ip,dst_ip,transaction_id,unit_id,function_code,address,quantity,status,response_time_ms,bytes_in,bytes_out
2025-09-02T08:00:15,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,62702,204,6,10395,1,OK,288,486,493
2025-09-02T08:00:57,ModbusTCP,C1_L1_09,C1_L1_09,P0_L0_13,10.109.1.17,10.242.14.234,13399,75,15,2321,34,OK,210,397,982
2025-09-02T08:01:22,ModbusTCP,C1_L1_17,C1_L1_17,P0_L0_01,10.206.6.110,10.16.0.2,12961,21,15,14008,70,OK,80,535,706
2025-09-02T08:01:35,ModbusTCP,C1_L1_09,C1_L1_09,P0_L0_13,10.109.1.17,10.242.14.234,57345,233,1,12471,51,OK,112,457,492
2025-09-02T08:01:35,ModbusTCP,C1_L1_02,C1_L1_02,P0_L0_07,10.103.1.17,10.230.11.188,56961,59,16,2812,29,OK,238,134,538
2025-09-02T08:02:27,ModbusTCP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,14893,118,1,4504,65,OK,40,664,729
2025-09-02T08:02:49,ModbusTCP,C1_L1_21,C1_L1_21,P0_L0_05,10.150.11.178,10.194.15.246,38011,162,6,5566,1,OK,91,740,586
2025-09-02T08:03:29,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,10169,7,1,5829,44,OK,208,401,645
2025-09-02T08:03:37,ModbusTCP,C1_L1_04,C1_L1_04,P0_L0_17,10.204.13.222,10.46.2.33,39812,193,15,2671,72,OK,133,475,608
2025-09-02T08:03:54,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_16,10.5.8.143,10.115.6.108,30792,55,2,15222,63,OK,65,326,189
2025-09-02T08:04:43,ModbusTCP,C1_L1_10,C1_L1_10,P0_L0_09,10.203.12.196,10.17.14.231,1523,110,15,121,76,IllegalFunction,95,322,660
2025-09-02T08:04:49,ModbusTCP,C1_L1_02,C1_L1_02,P0_L0_07,10.103.1.17,10.230.11.188,43809,7,16,16462,3,OK,231,498,700
2025-09-02T08:05:13,ModbusTCP,C1_L1_10,C1_L1_10,P0_L0_09,10.203.12.196,10.17.14.231,30836,136,6,15437,1,OK,57,464,544
2025-09-02T08:05:19,ModbusTCP,C1_L1_14,C1_L1_14,P0_L0_16,10.159.3.51,10.115.6.108,15183,169,3,15256,30,IllegalDataAddress,171,236,645
2025-09-02T08:06:01,ModbusTCP,C1_L1_10,C1_L1_10,P0_L0_09,10.203.12.196,10.17.14.231,29234,91,3,10433,21,OK,118,302,663
2025-09-02T08:06:09,ModbusTCP,C1_L1_17,C1_L1_17,P0_L0_01,10.206.6.110,10.16.0.2,930,170,1,13214,33,IllegalFunction,130,303,600
2025-09-02T08:06:14,ModbusTCP,C1_L1_17,C1_L1_17,P0_L0_01,10.206.6.110,10.16.0.2,40456,196,1,2096,71,OK,34,418,422
2025-09-02T08:06:30,ModbusTCP,C1_L1_21,C1_L1_21,P0_L0_05,10.150.11.178,10.194.15.246,9135,39,3,601,65,OK,128,376,513
2025-09-02T08:07:19,ModbusTCP,C1_L1_04,C1_L1_04,P0_L0_17,10.204.13.222,10.46.2.33,23652,142,5,3204,1,OK,317,392,531
2025-09-02T08:07:45,ModbusTCP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,55098,215,5,5608,1,OK,184,432,461
2025-09-02T08:08:21,ModbusTCP,C1_L1_09,C1_L1_09,P0_L0_13,10.109.1.17,10.242.14.234,44276,201,16,3642,97,OK,189,324,409
2025-09-02T08:09:59,ModbusTCP,C1_L1_04,C1_L1_04,P0_L0_17,10.204.13.222,10.46.2.33,32401,244,4,6816,16,OK,141,328,1056
2025-09-02T08:10:18,ModbusTCP,C1_L1_19,C1_L1_19,P0_L0_03,10.246.13.223,10.103.5.93,21368,188,2,2209,4,OK,58,242,520
2025-09-02T08:10:19,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_15,10.5.8.143,10.146.6.99,33900,228,5,3885,1,OK,246,274,520
2025-09-02T08:10:28,ModbusTCP,C1_L1_17,C1_L1_17,P0_L0_01,10.206.6.110,10.16.0.2,42215,10,2,11993,59,OK,69,361,1102
2025-09-02T08:11:39,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,11080,131,15,12560,42,OK,102,482,516
2025-09-02T08:11:43,ModbusTCP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,34083,78,2,3248,49,Timeout,176,435,413
2025-09-02T08:12:46,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_16,10.5.8.143,10.115.6.108,61413,11,3,6837,91,OK,244,354,886
2025-09-02T08:13:26,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_15,10.5.8.143,10.146.6.99,19721,11,6,10407,1,OK,1065,560,829
2025-09-02T08:13:51,ModbusTCP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,12961,157,4,7495,37,SlaveDeviceFailure,258,350,728
2025-09-02T08:14:11,ModbusTCP,C1_L1_10,C1_L1_10,P0_L0_09,10.203.12.196,10.17.14.231,28355,135,15,6187,39,OK,520,263,969
2025-09-02T08:14:12,ModbusTCP,C1_L1_02,C1_L1_02,P0_L0_07,10.103.1.17,10.230.11.188,19989,100,5,9042,1,OK,73,200,706
2025-09-02T08:15:07,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_15,10.5.8.143,10.146.6.99,52720,129,16,9795,85,OK,302,406,804
2025-09-02T08:15:14,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,2440,239,4,3767,72,OK,261,457,974
2025-09-02T08:15:37,ModbusTCP,C1_L1_14,C1_L1_14,P0_L0_16,10.159.3.51,10.115.6.108,286,110,1,4205,44,OK,97,570,493
2025-09-02T08:16:49,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_11,10.171.15.251,10.48.14.225,592,168,1,6748,5,OK,149,618,362
2025-09-02T08:17:15,ModbusTCP,C1_L1_04,C1_L1_04,P0_L0_17,10.204.13.222,10.46.2.33,21174,147,2,5778,10,OK,226,659,1014
2025-09-02T08:18:15,ModbusTCP,C1_L1_10,C1_L1_10,P0_L0_09,10.203.12.196,10.17.14.231,26360,195,4,9808,76,OK,164,405,363
2025-09-02T08:18:17,ModbusTCP,C1_L1_17,C1_L1_17,P0_L0_01,10.206.6.110,10.16.0.2,5967,80,16,3301,52,Timeout,119,460,370
2025-09-02T08:18:30,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,43639,90,4,7489,6,OK,75,515,708
2025-09-02T08:18:43,ModbusTCP,C1_L1_21,C1_L1_21,P0_L0_05,10.150.11.178,10.194.15.246,52541,11,3,17019,93,OK,196,576,459
2025-09-02T08:18:49,ModbusTCP,C1_L1_21,C1_L1_21,P0_L0_05,10.150.11.178,10.194.15.246,43543,191,6,11294,1,OK,104,385,281
2025-09-02T08:19:35,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,882,36,1,14083,60,OK,97,567,511
2025-09-02T08:19:41,ModbusTCP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,10845,184,4,13130,75,SlaveDeviceFailure,378,297,885
2025-09-02T08:20:25,ModbusTCP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,24718,19,4,15833,107,OK,161,320,304
2025-09-02T08:20:32,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_15,10.5.8.143,10.146.6.99,49154,194,16,15757,43,OK,90,364,949
2025-09-02T08:20:50,ModbusTCP,C1_L1_02,C1_L1_02,P0_L0_07,10.103.1.17,10.230.11.188,52379,74,15,16607,46,OK,83,141,504
2025-09-02T08:21:58,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,33804,236,5,12649,1,OK,144,391,558
2025-09-02T08:22:03,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,30653,222,2,2715,38,OK,127,627,801
2025-09-02T08:23:10,ModbusTCP,C1_L1_09,C1_L1_09,P0_L0_13,10.109.1.17,10.242.14.234,30647,85,16,16731,71,OK,393,398,104
2025-09-02T08:23:35,ModbusTCP,C1_L1_04,C1_L1_04,P0_L0_17,10.204.13.222,10.46.2.33,4683,135,2,3165,79,OK,190,311,674
2025-09-02T08:23:51,ModbusTCP,C1_L1_09,C1_L1_09,P0_L0_13,10.109.1.17,10.242.14.234,46224,42,1,14917,72,OK,54,283,545
2025-09-02T08:24:53,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_15,10.5.8.143,10.146.6.99,55560,94,6,14066,1,OK,207,474,629
2025-09-02T08:25:00,ModbusTCP,C1_L1_21,C1_L1_21,P0_L0_05,10.150.11.178,10.194.15.246,45456,150,3,1297,68,OK,201,516,649
2025-09-02T08:26:44,ModbusTCP,C1_L1_19,C1_L1_19,P0_L0_03,10.246.13.223,10.103.5.93,50172,142,5,10962,1,OK,163,463,681
2025-09-02T08:27:04,ModbusTCP,C1_L1_10,C1_L1_10,P0_L0_09,10.203.12.196,10.17.14.231,53909,200,2,2478,41,OK,186,139,351
2025-09-02T08:27:08,ModbusTCP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,43122,109,6,19056,1,OK,188,329,585
2025-09-02T08:27:14,ModbusTCP,C1_L1_06,C1_L1_06,P0_L0_09,10.73.10.165,10.17.14.231,30872,1,2,19781,46,OK,69,345,435
2025-09-02T08:27:28,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_16,10.5.8.143,10.115.6.108,56697,178,2,6297,60,OK,226,449,421
2025-09-02T08:28:18,ModbusTCP,C1_L1_15,C1_L1_15,P0_L0_15,10.5.8.143,10.146.6.99,18233,95,6,17551,1,OK,86,443,581
2025-09-02T08:28:26,ModbusTCP,C1_L1_12,C1_L1_12,P0_L0_02,10.171.15.251,10.172.7.119,1853,28,4,8654,2,OK,24,425,541
2025-09-02T08:29:01,ModbusTCP,C1_L1_17,C1_L1_17,P0_L0_01,10.206.6.110,10.16.0.2,30202,42,16,19450,74,IllegalFunction,684,362,414
2025-09-02T08:30:43,ModbusTCP,C1_L1_17,C1_L1_17,P0_L0_01,10.206.6.110,10.16.0.2,41760,126,16,15653,57,OK,119,367,624
