timestamp,protocol,product_id,src_asset_id,dst_asset_id,src_ip,dst_ip,session_id,auth_method,username,result,response_time_ms,bytes_in,bytes_out
2025-09-02T08:00:23,SSH,C3_L3_01,C3_L3_01,C2_L2_08,10.106.9.157,10.113.2.42,ssh-593722,KeyboardInteractive,root,Success,152,526,653
2025-09-02T08:00:30,SSH,C3_L3_08,C3_L3_08,C2_L2_11,10.76.2.40,10.198.12.199,ssh-585874,Password,svc_account,Success,288,422,418
2025-09-02T08:00:52,SSH,C3_L3_08,C3_L3_08,C2_L2_11,10.76.2.40,10.198.12.199,ssh-393052,KeyboardInteractive,root,Success,94,177,385
2025-09-02T08:01:12,SSH,C3_L3_09,C3_L3_09,C2_L2_04,10.183.5.92,10.205.8.132,ssh-274679,KeyboardInteractive,operator,Failure,177,460,405
2025-09-02T08:01:58,SSH,C3_L3_04,C3_L3_04,C2_L2_08,10.175.6.98,10.113.2.42,ssh-358348,PublicKey,admin,Success,122,415,773
2025-09-02T08:02:05,SSH,E_ENT_03,E_ENT_03,D_DMZ_02,10.176.15.254,10.99.8.143,ssh-223331,Password,root,Success,113,538,635
2025-09-02T08:02:13,SSH,C3_L3_08,C3_L3_08,C2_L2_11,10.76.2.40,10.198.12.199,ssh-461171,PublicKey,svc_account,Success,138,524,740
2025-09-02T08:02:15,SSH,C3_L3_06,C3_L3_06,C2_L2_14,10.218.2.44,10.129.12.194,ssh-686717,KeyboardInteractive,root,Success,180,366,427
2025-09-02T08:02:24,SSH,C3_L3_01,C3_L3_01,C2_L2_08,10.106.9.157,10.113.2.42,ssh-134063,Password,operator,Success,235,476,326
2025-09-02T08:02:25,SSH,C3_L3_01,C3_L3_01,C2_L2_05,10.106.9.157,10.89.4.71,ssh-117612,Password,root,Failure,59,381,689
2025-09-02T08:03:07,SSH,C3_L3_06,C3_L3_06,C2_L2_01,10.218.2.44,10.93.13.215,ssh-630448,PublicKey,root,Failure,104,380,733
2025-09-02T08:03:27,SSH,E_ENT_03,E_ENT_03,D_DMZ_02,10.176.15.254,10.99.8.143,ssh-286392,KeyboardInteractive,root,Success,262,514,642
2025-09-02T08:06:04,SSH,C3_L3_01,C3_L3_01,C2_L2_05,10.106.9.157,10.89.4.71,ssh-805308,KeyboardInteractive,operator,Success,209,257,834
2025-09-02T08:06:40,SSH,C3_L3_08,C3_L3_08,C2_L2_11,10.76.2.40,10.198.12.199,ssh-943194,KeyboardInteractive,admin,Failure,156,515,585
2025-09-02T08:07:15,SSH,C3_L3_01,C3_L3_01,C2_L2_08,10.106.9.157,10.113.2.42,ssh-599066,PublicKey,operator,Success,424,471,1078
2025-09-02T08:07:47,SSH,C3_L3_09,C3_L3_09,C2_L2_04,10.183.5.92,10.205.8.132,ssh-642036,PublicKey,admin,Failure,122,408,564
2025-09-02T08:07:50,SSH,C3_L3_06,C3_L3_06,C2_L2_01,10.218.2.44,10.93.13.215,ssh-106404,KeyboardInteractive,operator,Success,386,376,588
2025-09-02T08:07:58,SSH,C3_L3_04,C3_L3_04,C2_L2_08,10.175.6.98,10.113.2.42,ssh-144090,Password,admin,Success,45,587,369
2025-09-02T08:08:09,SSH,C3_L3_08,C3_L3_08,C2_L2_11,10.76.2.40,10.198.12.199,ssh-227352,Password,operator,Success,86,521,518
2025-09-02T08:08:41,SSH,E_ENT_03,E_ENT_03,D_DMZ_02,10.176.15.254,10.99.8.143,ssh-587594,Password,svc_account,Success,43,559,999
2025-09-02T08:09:04,SSH,C3_L3_01,C3_L3_01,C2_L2_08,10.106.9.157,10.113.2.42,ssh-250468,KeyboardInteractive,svc_account,Success,192,524,491
2025-09-02T08:09:13,SSH,C3_L3_01,C3_L3_01,C2_L2_08,10.106.9.157,10.113.2.42,ssh-440260,KeyboardInteractive,svc_account,Failure,438,461,592
2025-09-02T08:10:10,SSH,C3_L3_06,C3_L3_06,C2_L2_14,10.218.2.44,10.129.12.194,ssh-988149,KeyboardInteractive,operator,Success,176,366,352
2025-09-02T08:11:47,SSH,C3_L3_01,C3_L3_01,C2_L2_05,10.106.9.157,10.89.4.71,ssh-491939,PublicKey,root,Success,145,508,329
