flow_id,src_asset_id,dst_asset_id,protocol,controlStrength,pExploit,attackCost_min,impactFactor,riskWeight,cve_count
F0001,E_ENT_13,D_DMZ_02,SSH,0.690539,0.572466,0.472712,0.2,0.114493,3
F0001,E_ENT_13,D_DMZ_02,SSH,0.690539,0.443229,0.540607,0.6,0.265937,2
F0002,E_ENT_10,D_DMZ_05,RDP,0.799075,0.406031,0.646987,1,0.406031,3
F0002,E_ENT_10,D_DMZ_05,RDP,0.799075,0.302019,0.503352,0.2,0.060404,3
F0003,E_ENT_03,D_DMZ_05,RDP,0.512455,0.775799,0.513663,0.8,0.620639,3
F0003,E_ENT_03,D_DMZ_05,RDP,0.512455,0.641794,0.423161,0.2,0.128359,3
F0004,E_ENT_01,D_DMZ_05,RDP,0.485141,0.800072,0.534089,1,0.800072,3
F0004,E_ENT_01,D_DMZ_05,RDP,0.485141,0.668587,0.415519,0.2,0.133717,3
F0005,E_ENT_08,D_DMZ_12,HTTPS,0.396015,0.86779,0.446197,0.6,0.520674,3
F0005,E_ENT_08,D_DMZ_12,HTTPS,0.396015,0.749209,0.446423,0.6,0.449525,2
F0006,E_ENT_04,D_DMZ_02,RDP,0.575274,0.713276,0.440481,0.2,0.142655,3
F0006,E_ENT_04,D_DMZ_02,RDP,0.575274,0.576435,0.503747,0.6,0.345861,2
F0007,E_ENT_09,D_DMZ_11,RDP,0.385111,0.874928,0.387308,0.2,0.174986,3
F0007,E_ENT_09,D_DMZ_11,RDP,0.385111,0.758368,0.498341,1,0.758368,2
F0008,E_ENT_03,D_DMZ_02,SSH,0.604868,0.680445,0.545048,0.8,0.544356,3
F0008,E_ENT_03,D_DMZ_02,SSH,0.604868,0.543886,0.513211,0.6,0.326332,2
F0009,E_ENT_07,D_DMZ_09,HTTPS,0.584325,0.70347,0.474699,0.4,0.281388,3
F0009,E_ENT_07,D_DMZ_09,HTTPS,0.584325,0.566601,0.538328,0.8,0.453281,2
F0010,E_ENT_08,D_DMZ_06,RDP,0.154771,0.97508,0.36909,0.6,0.585048,3
F0010,E_ENT_08,D_DMZ_06,RDP,0.154771,0.915676,0.415468,1,0.915676,3
F0011,E_ENT_09,D_DMZ_09,RDP,0.645046,0.632255,0.459991,0.2,0.126451,3
F0011,E_ENT_09,D_DMZ_09,RDP,0.645046,0.49787,0.55896,0.8,0.398296,2
F0012,E_ENT_04,D_DMZ_10,RDP,0.554077,0.735443,0.434554,0.2,0.147089,3
F0012,E_ENT_04,D_DMZ_10,RDP,0.554077,0.599046,0.496969,0.6,0.359428,2
