timestamp,protocol,product_id,src_asset_id,dst_asset_id,src_ip,dst_ip,client_id,username,action,topic,qos,tls_enabled,result,response_time_ms,bytes_in,bytes_out
2025-09-02T08:00:40,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_11,10.22.4.65,10.167.6.98,client-6069,plc,DISCONNECT,,,0,OK,235,495,547
2025-09-02T08:01:15,MQTT,D_DMZ_05,D_DMZ_05,C3_L3_12,10.61.8.136,10.186.12.201,client-8648,collector,CONNECT,,,0,OK,203,478,212
2025-09-02T08:01:43,MQTT,D_DMZ_05,D_DMZ_05,C3_L3_12,10.61.8.136,10.186.12.201,client-4637,,PINGREQ,,,0,OK,127,497,817
2025-09-02T08:01:45,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_11,10.22.4.65,10.167.6.98,client-8571,telemetry,PUBLISH,cmd/actuator,0,0,OK,185,574,460
2025-09-02T08:01:47,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-1354,plc,PUBLISH,alerts/lineA,2,0,OK,125,315,582
2025-09-02T08:03:00,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-3961,,PUBLISH,telemetry/PLC1,1,0,OK,70,173,480
2025-09-02T08:03:02,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15,client-8876,mes,DISCONNECT,,,0,OK,403,277,511
2025-09-02T08:03:08,MQTT,D_DMZ_08,D_DMZ_08,C3_L3_10,10.254.6.108,10.36.10.168,client-5468,collector,SUBSCRIBE,alerts/lineA,0,0,OK,61,369,769
2025-09-02T08:03:27,MQTT,D_DMZ_05,D_DMZ_05,C3_L3_12,10.61.8.136,10.186.12.201,client-3665,,SUBSCRIBE,sensors/temperature,2,0,OK,393,359,370
2025-09-02T08:03:36,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_11,10.22.4.65,10.167.6.98,client-9574,telemetry,SUBSCRIBE,sensors/temperature,1,0,OK,128,278,585
2025-09-02T08:03:52,MQTT,D_DMZ_08,D_DMZ_08,C3_L3_10,10.254.6.108,10.36.10.168,client-5578,mes,CONNECT,,,0,OK,166,227,719
2025-09-02T08:03:59,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15,client-2415,telemetry,PUBLISH,cmd/actuator,1,0,OK,228,392,432
2025-09-02T08:04:03,MQTT,D_DMZ_08,D_DMZ_08,C3_L3_10,10.254.6.108,10.36.10.168,client-1445,collector,SUBSCRIBE,cmd/actuator,1,0,OK,347,430,204
2025-09-02T08:04:26,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-5151,collector,PUBLISH,telemetry/PLC1,1,0,OK,202,543,160
2025-09-02T08:04:56,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-1235,plc,PUBLISH,sensors/temperature,1,0,OK,53,294,351
2025-09-02T08:05:05,MQTT,D_DMZ_05,D_DMZ_05,C3_L3_12,10.61.8.136,10.186.12.201,client-8095,collector,PINGREQ,,,0,OK,213,233,467
2025-09-02T08:05:20,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-3891,telemetry,SUBSCRIBE,telemetry/PLC1,2,0,OK,69,590,432
2025-09-02T08:05:26,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15,client-4750,,PUBLISH,alerts/lineA,1,0,OK,136,444,921
2025-09-02T08:05:27,MQTT,D_DMZ_05,D_DMZ_05,C3_L3_12,10.61.8.136,10.186.12.201,client-6430,,PINGREQ,,,0,OK,183,525,423
2025-09-02T08:05:31,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-6934,,PUBLISH,telemetry/PLC1,2,0,OK,63,426,696
2025-09-02T08:06:06,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_11,10.22.4.65,10.167.6.98,client-6703,telemetry,SUBSCRIBE,cmd/actuator,1,0,OK,158,347,595
2025-09-02T08:06:17,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_11,10.22.4.65,10.167.6.98,client-6220,plc,SUBSCRIBE,cmd/actuator,1,0,OK,191,290,369
2025-09-02T08:08:03,MQTT,D_DMZ_05,D_DMZ_05,C3_L3_12,10.61.8.136,10.186.12.201,client-2988,telemetry,SUBSCRIBE,telemetry/PLC1,0,0,OK,206,188,569
2025-09-02T08:09:30,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15,client-2522,,PUBLISH,alerts/lineA,0,0,OK,263,91,411
2025-09-02T08:09:38,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15,client-6690,collector,PUBLISH,cmd/actuator,2,0,OK,72,572,922
2025-09-02T08:10:11,MQTT,D_DMZ_05,D_DMZ_05,C3_L3_12,10.61.8.136,10.186.12.201,client-3407,,PUBLISH,sensors/temperature,2,0,OK,148,509,729
2025-09-02T08:12:27,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15,client-6361,collector,DISCONNECT,,,0,OK,114,509,562
2025-09-02T08:13:16,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-9123,plc,DISCONNECT,,,0,OK,104,321,522
2025-09-02T08:13:56,MQTT,D_DMZ_10,D_DMZ_10,C3_L3_11,10.22.4.65,10.167.6.98,client-7796,collector,SUBSCRIBE,status/plc,1,0,OK,128,270,699
2025-09-02T08:13:56,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-1812,,PUBLISH,telemetry/PLC1,1,0,OK,110,546,434
2025-09-02T08:14:23,MQTT,D_DMZ_03,D_DMZ_03,C3_L3_05,10.173.12.197,10.213.4.79,client-4883,collector,SUBSCRIBE,sensors/temperature,1,0,OK,345,534,579
